Wavelength (nm),Transmission (%)
889,60.31738
888,56.50810
887,54.89444
886,55.48944
885,57.43534
884,59.54786
883,60.57587
882,59.71450
881,57.38849
880,54.86714
879,53.57545
878,54.27630
877,56.92823
876,60.76812
875,64.86841
874,68.26163
873,70.53088
872,72.09016
871,73.33790
870,74.38891
869,75.20349
868,75.71500
867,75.71793
866,75.13030
865,74.21407
864,73.16290
863,71.95511
862,70.55500
861,68.82483
860,73.93635
859,77.67184
858,70.51227
857,59.26244
856,50.07542
855,46.14671
854,47.62117
853,53.13686
852,59.63454
851,62.76861
850,60.21508
849,54.18730
848,49.19357
847,48.51701
846,53.65679
845,64.30293
