Wavelength (nm),Transmission (%),,,,,,
1620,76.37386513,,,,,,
1619,76.32044983,,,,,,
1618,76.27486611,,,,,,
1617,76.27306366,,,,,,
1616,76.23361588,,,,,,
1615,76.21112061,,,,,,
1614,76.21645737,,,,,,
1613,76.10062599,,,,,,
1612,76.08257675,,,,,,
1611,76.05513001,,,,,,
1610,76.03264427,,,,,,
1609,76.00994301,,,,,,
1608,75.98042679,,,,,,
1607,75.95025444,,,,,,
1606,75.87962723,,,,,,
1605,75.87976074,,,,,,
1604,75.80960846,,,,,,
1603,75.78123284,,,,,,
1602,75.74763108,,,,,,
1601,75.73999596,,,,,,
1600,75.70707512,,,,,,
1599,75.655159,,,,,,
1598,75.65650177,,,,,,
1597,75.56594086,,,,,,
1596,75.58584976,,,,,,
1595,75.54432106,,,,,,
1594,75.53558541,,,,,,
1593,75.49711419,,,,,,
1592,75.46209145,,,,,,
1591,75.40950585,,,,,,
1590,75.38776016,,,,,,
1589,75.3260212,,,,,,
1588,75.30574227,,,,,,
1587,75.2663517,,,,,,
1586,75.25384903,,,,,,
1585,75.19342804,,,,,,
1584,75.18471909,,,,,,
1583,75.13943482,,,,,,
1582,75.08729172,,,,,,
1581,75.10205651,,,,,,
1580,75.06464386,,,,,,
1579,74.99167061,,,,,,
1578,74.96726227,,,,,,
1577,74.9868908,,,,,,
1576,74.90647507,,,,,,
